Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Chéserex,Nyon,1272,2.857643835616438,4.689610273,Hôpital de Nyon,1219,1227,1238,1248,1263,1251,1276,1277,1272
Chêne-Pâquier,Jura-Nord vaudois,172,0.38641095890410965,9.244850819,Hôpital d'Yverdon-les-Bains,139,141,153,144,153,163,175,173,172
Chamblon,Jura-Nord vaudois,558,1.2535890410958903,0.252160868,Hôpital de Chamblon,534,542,540,559,561,567,561,554,558
Champagne,Jura-Nord vaudois,1087,2.442027397260274,5.581731756,Psychiatrie Nord CPNVD,1027,1034,1059,1061,1085,1077,1071,1071,1087
Champtauroz,Broye-Vully,184,0.4133698630136986,10.101760550000002,Moudon,128,122,130,144,169,169,188,196,184
Champvent,Jura-Nord vaudois,692,1.5546301369863016,2.6351058,Hôpital de Chamblon,669,685,689,696,712,734,731,725,692
Chardonne,Riviera-Pays-d'Enhaut,3384,7.60241095890411,1.812548511,Hôpital psychiatrique Nant,2921,2941,3032,3093,3077,3192,3243,3340,3384
Chavannes-de-Bogis,Nyon,1423,3.1968767123287676,6.157376513999999,Clinique Bois-Bougy,1290,1281,1357,1329,1330,1314,1394,1388,1423
Chavannes-des-Bois,Nyon,983,2.208383561643836,9.766764237,Clinique Bois-Bougy,942,964,960,1013,1005,1019,1011,982,983
Chavannes-le-Chêne,Jura-Nord vaudois,329,0.7391232876712329,9.996198217,Psychiatrie Nord CPNVD,298,308,311,324,325,316,317,322,329
Chavannes-le-Veyron,Morges,160,0.3594520547945206,4.252204538,Permanence de Cossonay,141,142,152,152,155,163,158,160,160
Chavannes-près-Renens,Ouest lausannois,10735,24.116986301369867,3.6971491000000003,Hôpital ophtalmique Jules-Gonin,7653,7741,7887,8487,8766,8725,9337,9771,10735
Chavannes-sur-Moudon,Broye-Vully,232,0.5212054794520549,1.5730331839999998,Moudon,220,216,210,223,222,218,238,229,232
Chavornay,Jura-Nord vaudois,5374,12.07309589041096,3.823215142,Hôpital d'Orbe,4908,4996,5135,5227,5370,5405,5423,5442,5374
Cheseaux-Noréaz,Jura-Nord vaudois,745,1.6736986301369865,1.72932618,Psychiatrie Nord CPNVD,705,721,725,741,728,734,739,734,745
Cheseaux-sur-Lausanne,Lausanne,4870,10.94082191780822,6.620629706,Clinique de la Source,4357,4338,4339,4367,4449,4525,4842,4855,4870
Chessel,Aigle,525,1.1794520547945206,3.696330589,Espace Santé Rennaz,403,426,429,444,497,528,519,528,525
Chevilly,Morges,345,0.775068493150685,3.250294712,Hôpital de Saint-Loup,298,314,317,317,322,331,337,346,345
Chevroux,Broye-Vully,487,1.094082191780822,8.334215117,Payerne,470,480,492,495,506,522,524,495,487
Chexbres,Lavaux-Oron,2272,5.104219178082191,4.090226412,Hôpital de Lavaux,2250,2238,2235,2251,2229,2204,2230,2263,2272
Chigny,Morges,410,0.9210958904109591,1.75254541,Hôpital de Morges,338,358,382,396,405,419,422,420,410
Clarmont,Morges,232,0.5212054794520549,4.756170871999999,Hôpital de Morges,189,190,191,201,211,213,219,228,232
Coinsins,Nyon,510,1.1457534246575343,2.834661039,Clinique de Genolier,484,499,494,509,508,499,519,517,510
Commugny,Nyon,2968,6.6678356164383565,7.041143661,Clinique Bois-Bougy,2858,2877,2935,2997,3001,2983,2993,2987,2968
Concise,Jura-Nord vaudois,1035,2.325205479452055,9.706098900999999,Psychiatrie Nord CPNVD,969,995,1025,1001,1004,1002,1022,1025,1035
Coppet,Nyon,3233,7.26317808219178,6.599097097,Clinique Bois-Bougy,3123,3126,3211,3247,3211,3184,3183,3216,3233
Corbeyrier,Aigle,456,1.0244383561643835,3.3483753050000002,Molage,437,438,437,445,439,440,464,452,456
