Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Orbe,Jura-Nord vaudois,8008,17.990575342465753,0.4203907516,Hôpital d'Orbe,6985,6942,7030,7124,7569,7617,7827,7962,8008
Orges,Jura-Nord vaudois,416,0.9345753424657535,3.60713374,Hôpital de Chamblon,336,332,332,343,367,407,416,424,416
Ormont-Dessous,Aigle,1261,2.832931506849315,9.623212492,Molage,1117,1121,1141,1180,1161,1178,1211,1244,1261
Ormont-Dessus,Aigle,1440,3.235068493150685,13.5184225,Château-d'Oex,1467,1446,1434,1466,1452,1425,1427,1435,1440
Orny,Morges,525,1.1794520547945206,1.7284364639999998,Hôpital de Saint-Loup,356,368,416,462,480,484,500,497,525
Oron,Lavaux-Oron,6451,14.492657534246575,9.284652903,Hôpital psychiatrique Nant,5809,5875,6049,6052,6100,6119,6173,6345,6451
Orzens,Jura-Nord vaudois,216,0.48526027397260274,5.963820805999999,Hôpital d'Yverdon-les-Bains,195,196,208,201,202,212,214,216,216
Oulens-sous-Echallens,Gros-de-Vaud,609,1.3681643835616437,6.149516214,Hôpital de Saint-Loup,577,611,615,618,619,606,600,607,609
Pailly,Gros-de-Vaud,575,1.2917808219178082,8.270976454,Hôpital d'Yverdon-les-Bains,543,561,563,567,575,566,576,576,575
Paudex,Lavaux-Oron,1483,3.3316712328767126,2.8654131499999997,Clinique de Montchoisi,1480,1507,1532,1538,1545,1550,1538,1512,1483
Payerne,Broye-Vully,10972,24.649424657534247,0.6792285853,Payerne,9716,9971,10072,10108,10256,10372,10577,10802,10972
Penthéréaz,Gros-de-Vaud,446,1.001972602739726,7.473975962000001,Hôpital d'Orbe,418,421,421,419,417,433,437,430,446
Penthalaz,Gros-de-Vaud,3199,7.186794520547945,1.686023568,Permanence de Cossonay,3282,3283,3257,3207,3211,3214,3199,3177,3199
Penthaz,Gros-de-Vaud,1910,4.290958904109589,3.039160899,Permanence de Cossonay,1726,1747,1760,1855,1890,1923,1899,1946,1910
Perroy,Nyon,1573,3.5338630136986304,1.218672031,Hôpital de Rolle,1514,1542,1497,1518,1514,1542,1600,1588,1573
Poliez-Pittet,Gros-de-Vaud,847,1.9028493150684933,10.22976837,Moudon,849,846,829,829,833,848,876,850,847
Pompaples,Morges,917,2.060109589041096,0.4934444812,Hôpital de Saint-Loup,854,847,851,847,849,860,926,930,917
Pomy,Jura-Nord vaudois,904,2.030904109589041,1.875867681,Hôpital d'Yverdon-les-Bains,785,780,793,803,838,868,875,877,904
Préverenges,Morges,5236,11.763068493150685,2.208006847,Hôpital de Morges,5291,5298,5243,5241,5207,5209,5223,5273,5236
Prévonloup,Broye-Vully,249,0.5593972602739726,7.043633909,Moudon,160,184,194,202,215,220,226,231,249
Prangins,Nyon,4243,9.53221917808219,0.7560483639000001,Psychiatrie Ouest Hôpital de Prangins,4069,4040,4088,4101,4059,4277,4284,4280,4243
Premier,Jura-Nord vaudois,233,0.5234520547945205,6.209409713,Hôpital de Saint-Loup,210,213,215,218,232,236,233,228,233
Prilly,Ouest lausannois,13069,29.360493150684935,1.827424938,Hôpital ophtalmique Jules-Gonin,12105,12392,12423,12383,12338,12318,12439,12766,13069
Provence,Jura-Nord vaudois,421,0.9458082191780821,13.368519430000001,Psychiatrie Nord CPNVD,388,373,379,392,403,403,415,411,421
Puidoux,Lavaux-Oron,3014,6.771178082191782,3.874247472,Hôpital de Lavaux,2904,2880,2881,2894,2924,2991,3012,2976,3014
Pully,Lavaux-Oron,19550,43.920547945205485,1.798234135,Clinique de Montchoisi,18194,18336,18495,18688,18945,19005,19298,19545,19550
Rances,Jura-Nord vaudois,513,1.1524931506849316,3.529336034,Hôpital d'Orbe,485,482,505,513,512,521,525,508,513
Renens,Ouest lausannois,21827,49.036,2.911473548,Hôpital ophtalmique Jules-Gonin,21114,20968,20928,20863,20908,21116,21466,21568,21827
Rennaz,Aigle,935,2.1005479452054794,0.2737142898,Espace Santé Rennaz,839,826,871,889,883,929,928,949,935
Rivaz,Lavaux-Oron,330,0.7413698630136987,4.424377241999999,Hôpital de Lavaux,351,358,342,337,331,332,326,329,330
Roche,Aigle,2035,4.571780821917808,2.1264554469999997,Espace Santé Rennaz,1650,1775,1826,1868,1872,1940,1958,1996,2035
Rolle,Nyon,6604,14.836383561643837,1.170948637,Hôpital de Rolle,6225,6246,6245,6259,6291,6321,6453,6537,6604
Romainmôtier-Envy,Jura-Nord vaudois,579,1.3007671232876714,4.219359148,Hôpital de Saint-Loup,551,540,535,525,551,559,575,560,579
Romanel-sur-Lausanne,Lausanne,4331,9.729917808219179,4.498779411,Clinique de la Source,3300,3311,3294,3247,3482,3798,3992,4325,4331
Romanel-sur-Morges,Morges,462,1.0379178082191782,3.710657393,Hôpital de Morges,470,458,470,466,466,458,462,454,462
Ropraz,Broye-Vully,535,1.2019178082191782,7.579181582,Moudon,450,494,488,528,534,529,535,529,535
Rossenges,Broye-Vully,82,0.1842191780821918,2.7251942920000003,Moudon,63,65,84,84,93,93,88,90,82
Rossinière,Riviera-Pays-d'Enhaut,504,1.1322739726027398,3.8290633549999997,Château-d'Oex,545,548,548,537,534,534,529,499,504
Rougemont,Riviera-Pays-d'Enhaut,805,1.8084931506849315,4.9521071039999995,Pôle Santé Pays-d'Enhaut,882,882,858,863,862,826,796,812,805
Rovray,Jura-Nord vaudois,198,0.4448219178082192,9.348284029,Psychiatrie Nord CPNVD,187,180,185,204,206,197,199,195,198
Rueyres,Gros-de-Vaud,302,0.6784657534246575,8.707124639,Moudon,257,255,265,266,304,303,302,304,302
Saint-Barthélemy,Gros-de-Vaud,838,1.8826301369863017,7.763321178999999,Permanence de Cossonay,769,778,791,784,809,814,829,837,838
Saint-Cergue,Nyon,3057,6.867780821917809,5.221607624,Clinique de Genolier,2559,2583,2603,2674,2754,2786,2916,3012,3057
Sainte-Croix,Jura-Nord vaudois,5149,11.567616438356165,0.3658615891,Les Rosiers,4919,4845,4888,4917,4948,4869,5051,5130,5149
Saint-George,Nyon,1082,2.4307945205479453,5.783688502,Hôpital de Gilly,1031,1031,1063,1074,1072,1069,1061,1083,1082
Saint-Livres,Morges,708,1.5905753424657536,1.9024592459999998,Hôpital d'Aubonne,683,690,691,683,674,697,697,715,708
Saint-Oyens,Morges,449,1.0087123287671234,3.024503999,Hôpital de Gilly,366,448,447,461,458,456,450,457,449
Saint-Prex,Morges,5922,13.304219178082194,3.843363805,Institution de Lavigny,5695,5684,5774,5865,5865,5876,5907,5868,5922
St-Saphorin (Lavaux),Lavaux-Oron,393,0.8829041095890411,3.973603275,Les Moulins,389,391,384,388,395,402,391,389,393
Saint-Sulpice,Ouest lausannois,5193,11.666465753424658,4.583676547,Hôpital de Morges,4524,4669,4717,4909,4932,5036,5138,5157,5193
Saubraz,Morges,441,0.9907397260273972,5.1689670539999995,Hôpital d'Aubonne,420,418,423,423,444,449,449,446,441
Savigny,Lavaux-Oron,3598,8.08317808219178,5.987426332,Hôpital de Lavaux,3352,3353,3359,3348,3370,3421,3448,3506,3598
Senarclens,Morges,505,1.1345205479452056,2.092953815,Permanence de Cossonay,505,488,477,496,491,496,491,480,505
Sergey,Jura-Nord vaudois,165,0.37068493150684934,3.479718496,Hôpital d'Orbe,137,146,145,145,141,140,137,133,165
Servion,Lavaux-Oron,2241,5.034575342465753,9.778222739999999,Hôpital de Lavaux,1904,1942,1997,2076,2107,2136,2172,2228,2241
Signy-Avenex,Nyon,586,1.3164931506849316,2.261233327,Hôpital de Nyon,567,592,586,581,584,583,606,605,586
Suchy,Jura-Nord vaudois,672,1.5096986301369861,4.990921107,Hôpital d'Orbe,605,599,645,656,656,671,665,670,672
Sullens,Gros-de-Vaud,1282,2.880109589041096,5.325518163,Permanence de Cossonay,1005,1036,1035,1041,1143,1169,1198,1225,1282
Suscévaz,Jura-Nord vaudois,263,0.5908493150684933,2.839077018,Hôpital de Chamblon,200,213,215,204,215,220,217,237,263
Syens,Broye-Vully,144,0.3235068493150685,3.060314424,Moudon,150,159,155,156,161,164,166,151,144
Tévenon,Jura-Nord vaudois,857,1.9253150684931508,7.443819435,Psychiatrie Nord CPNVD,843,877,896,894,883,867,865,861,857
Tannay,Nyon,1732,3.891068493150685,8.000785097,Clinique Bois-Bougy,1585,1593,1600,1636,1642,1720,1715,1728,1732
Tartegnin,Nyon,246,0.5526575342465754,0.9177859474000001,Hôpital de Gilly,235,246,233,236,241,249,250,238,246
Tolochenaz,Morges,1928,4.331397260273973,2.964674629,Hôpital de Morges,1883,1933,1907,1889,1886,1890,1922,1934,1928
Trélex,Nyon,1427,3.2058630136986306,3.408259058,Clinique de Genolier,1405,1408,1434,1445,1439,1427,1447,1428,1427
Trey,Broye-Vully,305,0.6852054794520549,5.633151041,Payerne,268,267,285,302,321,302,315,318,305
Treycovagnes,Jura-Nord vaudois,518,1.1637260273972603,0.47417237110000005,Hôpital de Chamblon,456,480,492,485,490,520,522,513,518
Treytorrens,Broye-Vully,108,0.24263013698630137,11.28420397,Moudon,122,119,111,114,110,105,109,109,108
Ursins,Jura-Nord vaudois,227,0.5099726027397261,4.430606559,Hôpital d'Yverdon-les-Bains,218,230,225,238,228,230,234,233,227
Valbroye,Broye-Vully,3416,7.674301369863015,9.29216347,Payerne,3035,3174,3296,3373,3349,3361,3406,3435,3416
Valeyres-sous-Montagny,Jura-Nord vaudois,717,1.6107945205479453,2.033922767,Hôpital de Chamblon,705,708,709,714,697,703,703,706,717
Valeyres-sous-Rances,Jura-Nord vaudois,573,1.2872876712328767,2.6576814829999997,Hôpital d'Orbe,631,622,620,609,614,606,583,583,573
Valeyres-sous-Ursins,Jura-Nord vaudois,225,0.5054794520547945,3.033234876,Hôpital d'Yverdon-les-Bains,238,232,227,241,247,241,237,236,225
Vallorbe,Jura-Nord vaudois,4434,9.961315068493152,10.832140240000001,Hôpital de Saint-Loup,3851,3852,3857,3874,3923,3987,4121,4328,4434
Vaulion,Jura-Nord vaudois,500,1.1232876712328768,9.193223223,Hôpital de Saint-Loup,482,469,496,506,492,483,486,489,500
Vaux-sur-Morges,Morges,185,0.41561643835616435,3.12727261,Hôpital de Morges,199,184,196,194,196,185,180,185,185
Vevey,Riviera-Pays-d'Enhaut,20179,45.33364383561644,0.2851865078,Les Moulins,19829,19904,19871,19780,19721,19743,20155,20146,20179
Veytaux,Riviera-Pays-d'Enhaut,1008,2.2645479452054795,0.79037646,Clinique Valmont,870,884,922,956,952,970,997,1043,1008
Vich,Nyon,1174,2.637479452054795,3.001464554,Clinique la Lignière,1026,1039,1083,1156,1157,1160,1174,1179,1174
Villars-Epeney,Jura-Nord vaudois,109,0.24487671232876715,3.694278539,Psychiatrie Nord CPNVD,106,100,102,101,95,92,101,108,109
Villars-le-Comte,Broye-Vully,129,0.28980821917808225,4.498185901,Moudon,142,132,122,120,133,138,135,132,129
Villars-le-Terroir,Gros-de-Vaud,1334,2.9969315068493154,10.393349599999999,Hôpital de Saint-Loup,1150,1213,1228,1281,1316,1308,1298,1307,1334
Villars-Sainte-Croix,Ouest lausannois,943,2.118520547945206,6.637984957,Hôpital ophtalmique Jules-Gonin,935,963,973,958,958,978,980,955,943
Villars-sous-Yens,Morges,603,1.3546849315068494,1.568617259,Institution de Lavigny,614,608,603,615,626,615,609,602,603
Villarzel,Broye-Vully,522,1.1727123287671233,8.210211236,Payerne,417,446,451,477,500,486,525,524,522
Villeneuve,Aigle,6073,13.643452054794523,1.920025695,HRC,5672,5771,5772,5837,5918,5979,6057,6039,6073
Vinzel,Nyon,385,0.8649315068493151,2.408299131,Clinique la Lignière,371,358,355,385,369,378,381,387,385
Vuarrens,Gros-de-Vaud,1113,2.5004383561643837,9.420386929000001,Hôpital d'Yverdon-les-Bains,1003,1001,1054,1060,1097,1106,1103,1120,1113
Vucherens,Broye-Vully,634,1.4243287671232876,5.3255373740000005,Moudon,583,577,580,617,623,637,635,622,634
Vufflens-la-Ville,Gros-de-Vaud,1327,2.981205479452055,4.76349841,Permanence de Cossonay,1284,1298,1295,1349,1346,1334,1336,1342,1327
Vufflens-le-Château,Morges,887,1.9927123287671238,2.416375019,Hôpital de Morges,884,886,883,870,894,884,882,838,887
Vugelles-La Mothe,Jura-Nord vaudois,142,0.31901369863013695,5.418342794999999,Hôpital de Chamblon,122,132,135,138,140,137,151,147,142
Vuiteboeuf,Jura-Nord vaudois,616,1.383890410958904,4.692919445999999,Les Rosiers,574,584,576,584,591,592,586,607,616
Vulliens,Broye-Vully,630,1.4153424657534248,5.218530681,Moudon,515,595,614,624,631,632,646,628,630
Vullierens,Morges,577,1.2962739726027397,4.7529738219999995,Permanence de Cossonay,499,507,513,542,560,562,571,548,577
Vully-les-Lacs,Broye-Vully,3698,8.307835616438355,12.70680363,Payerne,3080,3163,3278,3360,3465,3540,3614,3639,3698
Yens,Morges,1481,3.327178082191781,2.028989356,Institution de Lavigny,1395,1429,1477,1480,1499,1513,1505,1502,1481
Yverdon-les-Bains,Jura-Nord vaudois,30600,68.74520547945207,0.733473473,Hôpital d'Yverdon-les-Bains,30208,30211,30189,29981,29705,29877,30221,30332,30600
Yvonand,Jura-Nord vaudois,3536,7.943890410958904,7.470767858,Psychiatrie Nord CPNVD,3351,3426,3434,3467,3510,3531,3536,3525,3536
Yvorne,Aigle,1119,2.5139178082191784,2.152111947,Molage,1057,1066,1071,1070,1038,1088,1108,1110,1119
